# Log  Format
# ZCZC WEEK# MINUTES LogCode Description
# LogCode: https://osp4diss.vlsm.org/ETC/logCodes.txt
ZCZC W00 10   L03 GitHub and git related, including commit, push, pull
ZCZC W00 18   L04 GitHub Pages related
ZCZC W00 100  L02 ZOOM meetings related
ZCZC W00 05   L03 GitHub and git related, including commit, push, pull
ZCZC W00 100  L02 ZOOM meetings related
ZCZC W00 10   L01 SCELE/Discord related
ZCZC W00 30   L05 Quiz related including studying
ZCZC W01 100  L02 ZOOM meetings related
ZCZC W01 70   L31 VirtualBox: install GNU/Linux, etc.
ZCZC W01 5    L03 GitHub and git related, including commit, push, pull
ZCZC W01 5    L01 SCELE/Discord related
ZCZC W01 5    L03 GitHub and git related, including commit, push, pull
ZCZC W01 5    L03 GitHub and git related, including commit, push, pull
ZCZC W01 100  L02 ZOOM meetings related
ZCZC W01 60   L01 SCELE/Discord related
ZCZC W01 20   L05 Quiz related including studying
ZCZC W01 60   L05 Quiz related including studying
ZCZC W01 3    L05 Quiz related including studying
ZCZC W01 15   L03 GitHub and git related, including commit, push, pull
ZCZC W01 2    L03 GitHub and git related, including commit, push, pull
ZCZC W02 30   L04 GitHub Pages related
ZCZC W02 5    L03 GitHub and git related, including commit, push, pull
ZCZC W02 100  L02 ZOOM meetings related
ZCZC W02 120  L22 Linux CLI including tar, etc.
ZCZC W02 5    L03 GitHub and git related, including commit, push, pull
ZCZC W02 30   L05 Quiz related including studying
ZCZC W02 3    L05 Quiz related including studying
ZCZC W02 5    L03 GitHub and git related, including commit, pus,h pull
ZCZC W02 120  L09 Assignment in General
ZCZC W02 10   L03 GitHub and git related, including commit, push, pull
ZCZC W02 1    L03 GitHub and git related, including commit, push, pull
ZCZC W02 15   L09 Assignment in General
ZCZC W02 3    L03 GitHub and git related, including commit, push, pull
ZCZC W03 100  L02 ZOOM meetings related
ZCZC W03 60   L05 Quiz related including studying
ZCZC W03 10   L05 Quiz related including studying
ZCZC W03 3    L05 Quiz related including studying
ZCZC W03 70   L09 Assignment in general
ZCZC W04 20   L04 GitHub Pages related
ZCZC W04 100  L02 ZOOM meetings related
ZCZC W04 3    L05 Quiz related including studying
ZCZC W04 100  L02 ZOOM meetings related, OFFLINE CLASS
ZCZC W04 20   L27 SSH, key-gen, tunneling, putty, winscp
ZCZC W04 5    L27 SSH, key-gen, tunneling, putty, winscp
ZCZC W04 30   L05 Quiz related including studying
ZCZC W04 3    L05 Quiz related including studying
ZCZC W04 15   L25 C-language including Make.
ZCZC W04 5    L22 Linux CLI including tar, etc.
ZCZC W04 60   L09 Assignment in general
ZCZC W05 100  L02 ZOOM meetings related
ZCZC W05 3    L05 Quiz related including studying
ZCZC W05 100  L02 ZOOM meeting related, OFFLINE CLASS
ZCZC W05 60   L05 Quiz related including studying
ZCZC W05 3    L05 Quiz related including studying
ZCZC W05 60   L09 Assignment in General
ZCZC W05 80   L09 Assignment in General
ZCZC W06 90   L09 Assignment in General
ZCZC W06 10   L05 Quiz related including studying
ZCZC W06 3    L05 Quiz related including studying
ZCZC W06 60   L05 Quiz related including studying
ZCZC W06 3    L05 Quiz related including studying
ZCZC W06 25   L09 Assignment in general
ZCZC W07 100  L02 ZOOM meetings related (OFFLINE CLASS)
ZCZC W07 3    L05 Quiz related including studying
ZCZC W07 80   L05 Quiz related including studying
ZCZC W07 3    L05 Quiz related including studying
ZCZC W07 180  L09 Assignment in general
ZCZC W07 20   L09 Assignment in general
ZCZC W08 100  L02 ZOOM meeting related
ZCZC W08 15   L05 Quiz related including studying
ZCZC W08 3    L05 Quiz related including studying
ZCZC W08 60   L05 Quiz related including studying
ZCZC W08 3    L05 Quiz related including studying
ZCZC W08 200  L09 Assignment in general
ZCZC W08 30   L09 Assignment in general
ZCZC W09 5    L05 Quiz related including studying
ZCZC W09 80   L05 Quiz related including studying
ZCZC W09 5    L05 Quiz related including studying
ZCZC W09 180  L09 Assignment in general
